Season,SeasonStartYear,GameDate,GameId,GameState,Round,SeriesMatchup,SeriesGame,TeamAbbrev,TeamName,TeamCountry,IsHomeTeam,OpponentAbbrev,OpponentName,OpponentCountry,TeamPim,OpponentPim,TotalGamePim,PimSource
1993-1994,1993,1994-04-16,1993030141,OFF,1,4,1,MTL,Montréal Canadiens,Canada,False,BOS,Boston Bruins,USA,12,12,24,playerByGameStats sum
1993-1994,1993,1994-04-16,1993030141,OFF,1,4,1,BOS,Boston Bruins,USA,True,MTL,Montréal Canadiens,Canada,12,12,24,playerByGameStats sum
1993-1994,1993,1994-04-18,1993030142,OFF,1,4,2,MTL,Montréal Canadiens,Canada,False,BOS,Boston Bruins,USA,30,27,57,playerByGameStats sum
1993-1994,1993,1994-04-18,1993030142,OFF,1,4,2,BOS,Boston Bruins,USA,True,MTL,Montréal Canadiens,Canada,27,30,57,playerByGameStats sum
1993-1994,1993,1994-04-18,1993030171,OFF,1,7,1,CHI,Chicago Blackhawks,USA,False,TOR,Toronto Maple Leafs,Canada,53,38,91,playerByGameStats sum
1993-1994,1993,1994-04-18,1993030171,OFF,1,7,1,TOR,Toronto Maple Leafs,Canada,True,CHI,Chicago Blackhawks,USA,38,53,91,playerByGameStats sum
1993-1994,1993,1994-04-20,1993030172,OFF,1,7,2,CHI,Chicago Blackhawks,USA,False,TOR,Toronto Maple Leafs,Canada,10,6,16,playerByGameStats sum
1993-1994,1993,1994-04-20,1993030172,OFF,1,7,2,TOR,Toronto Maple Leafs,Canada,True,CHI,Chicago Blackhawks,USA,6,10,16,playerByGameStats sum
1993-1994,1993,1994-04-21,1993030143,OFF,1,4,3,BOS,Boston Bruins,USA,False,MTL,Montréal Canadiens,Canada,10,8,18,playerByGameStats sum
1993-1994,1993,1994-04-21,1993030143,OFF,1,4,3,MTL,Montréal Canadiens,Canada,True,BOS,Boston Bruins,USA,8,10,18,playerByGameStats sum
1993-1994,1993,1994-04-23,1993030144,OFF,1,4,4,BOS,Boston Bruins,USA,False,MTL,Montréal Canadiens,Canada,22,28,50,playerByGameStats sum
