Season,SeasonStartYear,GameDate,GameId,GameState,Round,SeriesMatchup,SeriesGame,TeamAbbrev,TeamName,TeamCountry,IsHomeTeam,OpponentAbbrev,OpponentName,OpponentCountry,TeamPim,OpponentPim,TotalGamePim,PimSource
1963-1964,1963,1964-04-11,1963030211,OFF,2,1,1,DET,Detroit Red Wings,USA,False,TOR,Toronto Maple Leafs,Canada,18,32,50,playerByGameStats sum
1963-1964,1963,1964-04-11,1963030211,OFF,2,1,1,TOR,Toronto Maple Leafs,Canada,True,DET,Detroit Red Wings,USA,32,18,50,playerByGameStats sum
1963-1964,1963,1964-04-14,1963030212,OFF,2,1,2,DET,Detroit Red Wings,USA,False,TOR,Toronto Maple Leafs,Canada,12,10,22,playerByGameStats sum
1963-1964,1963,1964-04-14,1963030212,OFF,2,1,2,TOR,Toronto Maple Leafs,Canada,True,DET,Detroit Red Wings,USA,10,12,22,playerByGameStats sum
1963-1964,1963,1964-04-16,1963030213,OFF,2,1,3,TOR,Toronto Maple Leafs,Canada,False,DET,Detroit Red Wings,USA,8,10,18,playerByGameStats sum
1963-1964,1963,1964-04-16,1963030213,OFF,2,1,3,DET,Detroit Red Wings,USA,True,TOR,Toronto Maple Leafs,Canada,10,8,18,playerByGameStats sum
1963-1964,1963,1964-04-18,1963030214,OFF,2,1,4,TOR,Toronto Maple Leafs,Canada,False,DET,Detroit Red Wings,USA,24,12,36,playerByGameStats sum
1963-1964,1963,1964-04-18,1963030214,OFF,2,1,4,DET,Detroit Red Wings,USA,True,TOR,Toronto Maple Leafs,Canada,12,24,36,playerByGameStats sum
1963-1964,1963,1964-04-21,1963030215,OFF,2,1,5,DET,Detroit Red Wings,USA,False,TOR,Toronto Maple Leafs,Canada,12,6,18,playerByGameStats sum
1963-1964,1963,1964-04-21,1963030215,OFF,2,1,5,TOR,Toronto Maple Leafs,Canada,True,DET,Detroit Red Wings,USA,6,12,18,playerByGameStats sum
1963-1964,1963,1964-04-23,1963030216,OFF,2,1,6,TOR,Toronto Maple Leafs,Canada,False,DET,Detroit Red Wings,USA,18,14,32,playerByGameStats sum
1963-1964,1963,1964-04-23,1963030216,OFF,2,1,6,DET,Detroit Red Wings,USA,True,TOR,Toronto Maple Leafs,Canada,14,18,32,playerByGameStats sum
1963-1964,1963,1964-04-25,1963030217,OFF,2,1,7,DET,Detroit Red Wings,USA,False,TOR,Toronto Maple Leafs,Canada,8,10,18,playerByGameStats sum
1963-1964,1963,1964-04-25,1963030217,OFF,2,1,7,TOR,Toronto Maple Leafs,Canada,True,DET,Detroit Red Wings,USA,10,8,18,playerByGameStats sum
1964-1965,1964,1965-04-17,1964030211,OFF,2,1,1,CHI,Chicago Blackhawks,USA,False,MTL,Montréal Canadiens,Canada,14,18,32,playerByGameStats sum
1964-1965,1964,1965-04-17,1964030211,OFF,2,1,1,MTL,Montréal Canadiens,Canada,True,CHI,Chicago Blackhawks,USA,18,14,32,playerByGameStats sum
1964-1965,1964,1965-04-20,1964030212,OFF,2,1,2,CHI,Chicago Blackhawks,USA,False,MTL,Montréal Canadiens,Canada,22,20,42,playerByGameStats sum
1964-1965,1964,1965-04-20,1964030212,OFF,2,1,2,MTL,Montréal Canadiens,Canada,True,CHI,Chicago Blackhawks,USA,20,22,42,playerByGameStats sum
1964-1965,1964,1965-04-22,1964030213,OFF,2,1,3,MTL,Montréal Canadiens,Canada,False,CHI,Chicago Blackhawks,USA,30,18,48,playerByGameStats sum
1964-1965,1964,1965-04-22,1964030213,OFF,2,1,3,CHI,Chicago Blackhawks,USA,True,MTL,Montréal Canadiens,Canada,18,30,48,playerByGameStats sum
1964-1965,1964,1965-04-25,1964030214,OFF,2,1,4,MTL,Montréal Canadiens,Canada,False,CHI,Chicago Blackhawks,USA,38,18,56,playerByGameStats sum
1964-1965,1964,1965-04-25,1964030214,OFF,2,1,4,CHI,Chicago Blackhawks,USA,True,MTL,Montréal Canadiens,Canada,18,38,56,playerByGameStats sum
1964-1965,1964,1965-04-27,1964030215,OFF,2,1,5,CHI,Chicago Blackhawks,USA,False,MTL,Montréal Canadiens,Canada,22,23,45,playerByGameStats sum
1964-1965,1964,1965-04-27,1964030215,OFF,2,1,5,MTL,Montréal Canadiens,Canada,True,CHI,Chicago Blackhawks,USA,23,22,45,playerByGameStats sum
1964-1965,1964,1965-04-29,1964030216,OFF,2,1,6,MTL,Montréal Canadiens,Canada,False,CHI,Chicago Blackhawks,USA,34,32,66,playerByGameStats sum
1964-1965,1964,1965-04-29,1964030216,OFF,2,1,6,CHI,Chicago Blackhawks,USA,True,MTL,Montréal Canadiens,Canada,32,34,66,playerByGameStats sum
1964-1965,1964,1965-05-01,1964030217,OFF,2,1,7,CHI,Chicago Blackhawks,USA,False,MTL,Montréal Canadiens,Canada,16,22,38,playerByGameStats sum
1964-1965,1964,1965-05-01,1964030217,OFF,2,1,7,MTL,Montréal Canadiens,Canada,True,CHI,Chicago Blackhawks,USA,22,16,38,playerByGameStats sum
1965-1966,1965,1966-04-24,1965030211,OFF,2,1,1,DET,Detroit Red Wings,USA,False,MTL,Montréal Canadiens,Canada,4,2,6,playerByGameStats sum
1965-1966,1965,1966-04-24,1965030211,OFF,2,1,1,MTL,Montréal Canadiens,Canada,True,DET,Detroit Red Wings,USA,2,4,6,playerByGameStats sum
1965-1966,1965,1966-04-26,1965030212,OFF,2,1,2,DET,Detroit Red Wings,USA,False,MTL,Montréal Canadiens,Canada,14,16,30,playerByGameStats sum
1965-1966,1965,1966-04-26,1965030212,OFF,2,1,2,MTL,Montréal Canadiens,Canada,True,DET,Detroit Red Wings,USA,16,14,30,playerByGameStats sum
1965-1966,1965,1966-04-28,1965030213,OFF,2,1,3,MTL,Montréal Canadiens,Canada,False,DET,Detroit Red Wings,USA,18,10,28,playerByGameStats sum
1965-1966,1965,1966-04-28,1965030213,OFF,2,1,3,DET,Detroit Red Wings,USA,True,MTL,Montréal Canadiens,Canada,10,18,28,playerByGameStats sum
1965-1966,1965,1966-05-01,1965030214,OFF,2,1,4,MTL,Montréal Canadiens,Canada,False,DET,Detroit Red Wings,USA,8,12,20,playerByGameStats sum
1965-1966,1965,1966-05-01,1965030214,OFF,2,1,4,DET,Detroit Red Wings,USA,True,MTL,Montréal Canadiens,Canada,12,8,20,playerByGameStats sum
1965-1966,1965,1966-05-03,1965030215,OFF,2,1,5,DET,Detroit Red Wings,USA,False,MTL,Montréal Canadiens,Canada,12,8,20,playerByGameStats sum
1965-1966,1965,1966-05-03,1965030215,OFF,2,1,5,MTL,Montréal Canadiens,Canada,True,DET,Detroit Red Wings,USA,8,12,20,playerByGameStats sum
1965-1966,1965,1966-05-05,1965030216,OFF,2,1,6,MTL,Montréal Canadiens,Canada,False,DET,Detroit Red Wings,USA,14,10,24,playerByGameStats sum
1965-1966,1965,1966-05-05,1965030216,OFF,2,1,6,DET,Detroit Red Wings,USA,True,MTL,Montréal Canadiens,Canada,10,14,24,playerByGameStats sum
